,event_number,filename,file_size,is_open
0,1,images/01-20170930072332-00.jpg,161410,1
1,1,images/01-20170930072333-00.jpg,176703,1
2,1,images/01-20170930072334-00.jpg,186909,1
3,1,images/01-20170930072335-00.jpg,196170,1
4,1,images/01-20170930072336-00.jpg,218983,1
5,1,images/01-20170930072337-00.jpg,236717,1
6,1,images/01-20170930072338-00.jpg,246584,1
7,1,images/01-20170930072339-00.jpg,274557,1
8,1,images/01-20170930072340-00.jpg,300170,1
9,1,images/01-20170930072341-00.jpg,331517,1
10,1,images/01-20170930072342-00.jpg,384077,1
11,1,images/01-20170930072343-00.jpg,428497,1
12,1,images/01-20170930072344-00.jpg,447878,1
13,1,images/01-20170930072345-00.jpg,448006,1
14,1,images/01-20170930072346-00.jpg,447956,1
15,1,images/01-20170930072347-00.jpg,448143,1
16,1,images/01-20170930072348-00.jpg,448131,1
17,1,images/01-20170930072350-00.jpg,448193,1
18,1,images/01-20170930072351-00.jpg,448640,1
19,1,images/01-20170930072352-00.jpg,448422,1
20,1,images/01-20170930072353-00.jpg,447804,1
21,1,images/01-20170930072354-00.jpg,418613,1
22,1,images/01-20170930072355-01.jpg,321089,1
23,1,images/01-20170930072356-00.jpg,294273,1
24,1,images/01-20170930072357-00.jpg,260711,1
25,1,images/01-20170930072358-00.jpg,245004,1
26,1,images/01-20170930072359-00.jpg,234446,1
27,1,images/01-20170930072400-00.jpg,212825,1
28,1,images/01-20170930072401-00.jpg,191993,1
29,1,images/01-20170930072402-00.jpg,175265,1
30,0,images/01-20170930072404-00.jpg,140386,0
31,0,images/01-20170930072405-00.jpg,133972,0
32,0,images/01-20170930072406-00.jpg,133868,0
33,0,images/01-20170930072407-00.jpg,133946,0
34,0,images/01-20170930072408-00.jpg,133886,0
35,0,images/01-20170930072409-00.jpg,133880,0
36,0,images/01-20170930072410-00.jpg,133915,0
37,0,images/01-20170930072411-00.jpg,133847,0
38,0,images/01-20170930072412-00.jpg,133999,0
39,0,images/01-20170930072413-00.jpg,133999,0
40,0,images/01-20170930072413-01.jpg,133829,0
41,0,images/01-20170930075400-snapshot.jpg,128293,0
42,0,images/01-20170930080000-snapshot.jpg,128304,0
43,0,images/01-20170930080600-snapshot.jpg,128339,0
44,0,images/01-20170930081200-snapshot.jpg,128324,0
45,0,images/01-20170930081800-snapshot.jpg,128345,0
46,0,images/01-20170930081900-snapshot.jpg,130701,0
47,0,images/01-20170930082000-snapshot.jpg,130730,0
48,0,images/01-20170930082100-snapshot.jpg,130805,0
49,0,images/01-20170930082200-snapshot.jpg,130880,0
50,0,images/01-20170930082300-snapshot.jpg,130865,0
51,0,images/01-20170930082400-snapshot.jpg,131034,0
52,0,images/01-20170930082500-snapshot.jpg,131051,0
53,0,images/01-20170930082600-snapshot.jpg,131236,0
54,0,images/01-20170930082700-snapshot.jpg,131475,0
55,0,images/01-20170930082800-snapshot.jpg,131655,0
56,0,images/01-20170930082900-snapshot.jpg,131790,0
57,0,images/01-20170930083000-snapshot.jpg,131804,0
58,0,images/01-20170930083100-snapshot.jpg,131785,0
59,0,images/01-20170930083200-snapshot.jpg,131738,0
60,0,images/01-20170930083300-snapshot.jpg,131826,0
61,0,images/01-20170930083400-snapshot.jpg,131953,0
62,0,images/01-20170930083500-snapshot.jpg,131901,0
63,0,images/01-20170930083600-snapshot.jpg,131787,0
